order_item_id,order_id,product_id,quantity,unit_price,discount_percent
4001,3001,2001,2,2999.99,10
4002,3001,2009,1,5000.00,0
4003,3002,2002,2,1899.99,0
4004,3003,2012,1,1799.99,0
4005,3004,2004,1,3499.99,5
4006,3004,2010,1,2500.00,0
4007,3005,2005,1,1299.99,0
4008,3005,2006,1,599.99,0
4009,3006,2007,1,1599.99,0
4010,3007,2001,3,2999.99,15
4011,3007,2009,1,5000.00,0
4012,3008,2003,2,899.99,10
4013,3008,2010,1,2500.00,0
4014,3009,2008,2,899.99,0
4015,3009,2011,2,1200.00,5
4016,3010,2004,2,3499.99,10
4017,3010,2015,1,7500.00,0
4018,3011,2002,2,1899.99,5
4019,3011,2005,1,1299.99,0
4020,3012,2013,1,999.99,0
4021,3012,2006,2,599.99,10
4022,3013,2005,1,1299.99,0
4023,3014,2001,1,2999.99,0
4024,3014,2009,1,5000.00,0
4025,3015,2012,1,1799.99,0
4026,3015,2011,1,1200.00,0
4027,3016,2015,1,7500.00,5
4028,3016,2001,1,2999.99,0
4029,3016,2010,1,2500.00,0
4030,3017,2004,2,3499.99,8
4031,3017,2014,1,2299.99,0
4032,3018,2001,1,2999.99,0
4033,3019,2012,1,1799.99,0
4034,3020,2002,2,1899.99,5
4035,3020,2011,1,1200.00,0
